NormalisedSpecificDisease,PhenotypicSeriesNumber,PhenotypicSeriesName,Phenotype,PhenotypeMIM,GeneSymbol,GeneMIM,Check_RTL,Comments_RTL,Check_DC,Comments_DC
Autosomal recessive congenital ichthyosis,PS242300,"Ichthyosis, congenital, autosomal recessive","Ichthyosis, congenital, autosomal recessive 3",606545,ALOXE3,607206,1,NA,NA,NA
Autosomal recessive congenital ichthyosis,PS242300,"Ichthyosis, congenital, autosomal recessive","Ichthyosis, congenital, autosomal recessive 12",617320,CASP14,605848,1,NA,NA,NA
Autosomal recessive congenital ichthyosis,PS242300,"Ichthyosis, congenital, autosomal recessive","Ichthyosis, congenital, autosomal recessive 5",604777,CYP4F22,611495,1,NA,NA,NA
Autosomal recessive congenital ichthyosis,PS242300,"Ichthyosis, congenital, autosomal recessive","Ichthyosis, congenital, autosomal recessive 14",617571,SULT2B1,604125,1,NA,NA,NA
Bardet-Biedl Syndrome,PS209900,Bardet-Biedl syndrome,"{Bardet-Biedl syndrome 1, modifier of}",209900,CCDC28B,610162,1,NA,NA,NA
Bardet-Biedl Syndrome,PS209900,Bardet-Biedl syndrome,Bardet-Biedl syndrome 16,615993,SDCCAG8,613524,1,NA,NA,NA
Bardet-Biedl Syndrome,PS209900,Bardet-Biedl syndrome,?Bardet-Biedl syndrome 15,615992,WDPCP,613580,1,NA,NA,NA
Bardet-Biedl Syndrome,PS209900,Bardet-Biedl syndrome,Bardet-Biedl syndrome 5,615983,BBS5,603650,1,NA,NA,NA
Bardet-Biedl Syndrome,PS209900,Bardet-Biedl syndrome,Bardet-Biedl syndrome 17,615994,LZTFL1,606568,1,NA,NA,NA
Bardet-Biedl Syndrome,PS209900,Bardet-Biedl syndrome,Bardet-Biedl syndrome 3,600151,ARL6,608845,1,NA,NA,NA
Bardet-Biedl Syndrome,PS209900,Bardet-Biedl syndrome,"{Bardet-Biedl syndrome 1, modifier of}",209900,ARL6,608845,1,NA,NA,NA
Bardet-Biedl Syndrome,PS209900,Bardet-Biedl syndrome,Bardet-Biedl syndrome 7,615984,BBS7,607590,1,NA,NA,NA
Bardet-Biedl Syndrome,PS209900,Bardet-Biedl syndrome,Bardet-Biedl syndrome 12,615989,BBS12,610683,1,NA,NA,NA
Bardet-Biedl Syndrome,PS209900,Bardet-Biedl syndrome,Bardet-Biedl syndrome 9,615986,BBS9,607968,1,NA,NA,NA
Bardet-Biedl Syndrome,PS209900,Bardet-Biedl syndrome,"{Bardet-Biedl syndrome 14, modifier of}",615991,TMEM67,609884,1,NA,NA,NA
Bardet-Biedl Syndrome,PS209900,Bardet-Biedl syndrome,Bardet-Biedl syndrome 21,617406,C8orf37,614477,1,NA,NA,NA
Bardet-Biedl Syndrome,PS209900,Bardet-Biedl syndrome,?Bardet-Biedl syndrome 20,617119,IFT74,608040,1,NA,NA,NA
Bardet-Biedl Syndrome,PS209900,Bardet-Biedl syndrome,?Bardet-Biedl syndrome 11,615988,TRIM32,602290,1,NA,NA,NA
Bardet-Biedl Syndrome,PS209900,Bardet-Biedl syndrome,?Bardet-Biedl syndrome 18,615995,BBIP1,613605,1,NA,NA,NA
Bardet-Biedl Syndrome,PS209900,Bardet-Biedl syndrome,Bardet-Biedl syndrome 1,209900,BBS1,209901,1,NA,NA,NA
Bardet-Biedl Syndrome,PS209900,Bardet-Biedl syndrome,Bardet-Biedl syndrome 10,615987,BBS10,610148,1,NA,NA,NA
Bardet-Biedl Syndrome,PS209900,Bardet-Biedl syndrome,?Bardet-Biedl syndrome 14,615991,CEP290,610142,1,NA,NA,NA
Bardet-Biedl Syndrome,PS209900,Bardet-Biedl syndrome,Bardet-Biedl syndrome 8,615985,TTC8,608132,1,NA,NA,NA
Bardet-Biedl Syndrome,PS209900,Bardet-Biedl syndrome,Bardet-Biedl syndrome 4,615982,BBS4,600374,1,NA,NA,NA
Bardet-Biedl Syndrome,PS209900,Bardet-Biedl syndrome,Bardet-Biedl syndrome 2,615981,BBS2,606151,1,NA,NA,NA
Bardet-Biedl Syndrome,PS209900,Bardet-Biedl syndrome,Bardet-Biedl syndrome 13,615990,MKS1,609883,1,NA,NA,NA
Bardet-Biedl Syndrome,PS209900,Bardet-Biedl syndrome,Bardet-Biedl syndrome 6,605231,MKKS,604896,1,NA,NA,NA
Bardet-Biedl Syndrome,PS209900,Bardet-Biedl syndrome,?Bardet-Biedl syndrome 19,615996,IFT27,615870,1,NA,NA,NA
Brugada syndrome,PS601144,Brugada syndrome,Brugada syndrome 9,616399,KCND3,605411,1,NA,NA,NA
Brugada syndrome,PS601144,Brugada syndrome,Brugada syndrome 2,611777,GPD1L,611778,1,NA,NA,NA
Brugada syndrome,PS601144,Brugada syndrome,Brugada syndrome 1,601144,SCN5A,600163,1,NA,NA,NA
Brugada syndrome,PS601144,Brugada syndrome,Brugada syndrome 4,611876,CACNB2,600003,1,NA,NA,NA
Brugada syndrome,PS601144,Brugada syndrome,?Brugada syndrome 6,613119,KCNE3,604433,1,NA,NA,NA
Brugada syndrome,PS601144,Brugada syndrome,"Atrial fibrillation, familial, 16",613120,SCN3B,608214,1,NA,NA,NA
Brugada syndrome,PS601144,Brugada syndrome,Brugada syndrome 7,613120,SCN3B,608214,1,NA,NA,NA
Brugada syndrome,PS601144,Brugada syndrome,Brugada syndrome 3,611875,CACNA1C,114205,1,NA,NA,NA
Brugada syndrome,PS601144,Brugada syndrome,Brugada syndrome 8,613123,HCN4,605206,1,NA,NA,NA
Brugada syndrome,PS601144,Brugada syndrome,Brugada syndrome 5,612838,SCN1B,600235,1,NA,NA,NA
Brugada syndrome,PS601144,Brugada syndrome,"Cardiac conduction defect, nonspecific",612838,SCN1B,600235,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 8, multiple types",115665,NA,115665,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 6, multiple types",116600,EPHA2,176946,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 34, multiple types",612968,FOXE3,601094,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 1, multiple types",116200,GJA8,600897,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 29, coralliform",115800,NA,115800,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 27, nuclear progressive",607304,NA,607304,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 4, multiple types",115700,CRYGD,123690,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 2, multiple types",604307,CRYGC,123680,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 39, multiple types, autosomal dominant",615188,CRYGB,123670,1,NA,NA,NA
Cataracts,PS116200,Cataract,?Cataract 42,115900,CRYBA2,600836,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 18, autosomal recessive",610019,FYCO1,607182,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 12, multiple types",611597,BFSP2,603212,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 20, multiple types",116100,CRYGS,123730,1,NA,NA,NA
Cataracts,PS116200,Cataract,?Cataract 41,116400,WFS1,606201,1,NA,NA,NA
Cataracts,PS116200,Cataract,Cataract 13 with adult i phenotype,116700,GCNT2,600429,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 46, juvenile-onset",212500,LEMD2,616312,1,NA,NA,NA
Cataracts,PS116200,Cataract,"{Cataract 28, age-related cortical, susceptibility to}",609026,NA,609026,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 38, autosomal recessive",614691,AGK,610345,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 26, multiple types",605749,NA,605749,1,NA,NA,NA
Cataracts,PS116200,Cataract,Cataract 36,613887,TDRD7,611258,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 30, pulverulent",116300,VIM,193060,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 47, juvenile, with microcornea",612018,SLC16A12,611910,1,NA,NA,NA
Cataracts,PS116200,Cataract,Cataract 48,618415,DNMBP,611282,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 11, multiple types",610623,PITX3,602669,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 11, syndromic, autosomal recessive",610623,PITX3,602669,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 16, multiple types",613763,CRYAB,123590,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 15, multiple types",615274,MIP,154050,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 37, autosomal dominant",614422,NA,614422,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 14, multiple types",601885,GJA3,121015,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 32, multiple types",115650,NA,115650,1,NA,NA,NA
Cataracts,PS116200,Cataract,Cataract 25,605728,NA,605728,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 5, multiple types",116800,HSF4,602438,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 21, multiple types",610202,MAF,177075,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 24, anterior polar",601202,NA,601202,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 10, multiple types",600881,CRYBA1,123610,1,NA,NA,NA
Cataracts,PS116200,Cataract,?Cataract 43,616279,UNC45B,611220,1,NA,NA,NA
Cataracts,PS116200,Cataract,Cataract 7,115660,NA,115660,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 35, congenital nuclear",609376,NA,609376,1,NA,NA,NA
Cataracts,PS116200,Cataract,?Cataract 45,616851,SIPA1L3,616655,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 19, multiple types",615277,LIM2,154045,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 33, multiple types",611391,BFSP1,603307,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 31, multiple types",605387,CHMP4B,610897,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 9, multiple types",604219,CRYAA,123580,1,NA,NA,NA
Cataracts,PS116200,Cataract,Cataract 44,616509,LSS,600909,1,NA,NA,NA
Cataracts,PS116200,Cataract,Cataract 22,609741,CRYBB3,123630,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 3, multiple types",601547,CRYBB2,123620,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 17, multiple types",611544,CRYBB1,600929,1,NA,NA,NA
Cataracts,PS116200,Cataract,Cataract 23,610425,CRYBA4,123631,1,NA,NA,NA
Cataracts,PS116200,Cataract,"Cataract 40, X-linked",302200,NHS,300457,1,NA,NA,NA
Catecholaminergic Polymorphic Ventricular Tachycardia,PS604772,"Ventricular tachycardia, catecholaminergic polymorphic","Ventricular tachycardia, catecholaminergic polymorphic, 2",611938,CASQ2,114251,1,NA,NA,NA
Catecholaminergic Polymorphic Ventricular Tachycardia,PS604772,"Ventricular tachycardia, catecholaminergic polymorphic","Ventricular tachycardia, catecholaminergic polymorphic, 1",604772,RYR2,180902,1,NA,NA,NA
Catecholaminergic Polymorphic Ventricular Tachycardia,PS604772,"Ventricular tachycardia, catecholaminergic polymorphic","Ventricular tachycardia, catecholaminergic polymorphic, 3",614021,TECRL,617242,1,NA,NA,NA
Catecholaminergic Polymorphic Ventricular Tachycardia,PS604772,"Ventricular tachycardia, catecholaminergic polymorphic","Ventricular tachycardia, catecholaminergic polymorphic, 5, with or without muscle weakness",615441,TRDN,603283,1,NA,NA,NA
Catecholaminergic Polymorphic Ventricular Tachycardia,PS604772,"Ventricular tachycardia, catecholaminergic polymorphic","Ventricular tachycardia, catecholaminergic polymorphic, 4",614916,CALM1,114180,1,NA,NA,NA
Catecholaminergic Polymorphic Ventricular Tachycardia,PS604772,"Ventricular tachycardia, catecholaminergic polymorphic","?Ventricular tachycardia, catecholaminergic polymorphic 6",618782,CALM3,114183,1,NA,NA,NA
Catecholaminergic Polymorphic Ventricular Tachycardia,PS604772,"Ventricular tachycardia, catecholaminergic polymorphic",Long QT syndrome 16,618782,CALM3,114183,1,NA,NA,NA
Cerebellar hypoplasia,PS607596,Pontocerebellar hypoplasia,"Pontocerebellar hypoplasia, type 7",614969,TOE1,613931,1,NA,NA,NA
Cerebellar hypoplasia,PS607596,Pontocerebellar hypoplasia,"Pontocerebellar hypoplasia, type 9",615809,AMPD2,102771,1,NA,NA,NA
Cerebellar hypoplasia,PS607596,Pontocerebellar hypoplasia,"Pontocerebellar hypoplasia, type 2F",617026,TSEN15,608756,1,NA,NA,NA
Cerebellar hypoplasia,PS607596,Pontocerebellar hypoplasia,Pontocerebellar hypoplasia type 2B,612389,TSEN2,608753,1,NA,NA,NA
Cerebellar hypoplasia,PS607596,Pontocerebellar hypoplasia,"Pontocerebellar hypoplasia, type 11",617695,TBC1D23,617687,1,NA,NA,NA
Cerebellar hypoplasia,PS607596,Pontocerebellar hypoplasia,Pontocerebellar hypoplasia type 2D,613811,SEPSECS,613009,1,NA,NA,NA
Cerebellar hypoplasia,PS607596,Pontocerebellar hypoplasia,"Pontocerebellar hypoplasia, type 1D",618065,EXOSC9,606180,1,NA,NA,NA
Cerebellar hypoplasia,PS607596,Pontocerebellar hypoplasia,"Pontocerebellar hypoplasia, type 6",611523,RARS2,611524,1,NA,NA,NA
Cerebellar hypoplasia,PS607596,Pontocerebellar hypoplasia,"?Pontocerebellar hypoplasia, type 3",608027,PCLO,604918,1,NA,NA,NA
Cerebellar hypoplasia,PS607596,Pontocerebellar hypoplasia,"Pontocerebellar hypoplasia, type 1B",614678,EXOSC3,606489,1,NA,NA,NA
Cerebellar hypoplasia,PS607596,Pontocerebellar hypoplasia,"Pontocerebellar hypoplasia, type 10",615803,CLP1,608757,1,NA,NA,NA
Cerebellar hypoplasia,PS607596,Pontocerebellar hypoplasia,"Pontocerebellar hypoplasia, type 13",618606,VPS51,615738,1,NA,NA,NA
Cerebellar hypoplasia,PS607596,Pontocerebellar hypoplasia,"Pontocerebellar hypoplasia, type 1C",616081,EXOSC8,606019,1,NA,NA,NA
Cerebellar hypoplasia,PS607596,Pontocerebellar hypoplasia,Pontocerebellar hypoplasia type 1A,607596,VRK1,602168,1,NA,NA,NA
Cerebellar hypoplasia,PS607596,Pontocerebellar hypoplasia,"Pontocerebellar hypoplasia, type 8",614961,CHMP1A,164010,1,NA,NA,NA
Cerebellar hypoplasia,PS607596,Pontocerebellar hypoplasia,"Pontocerebellar hypoplasia, type 2E",615851,VPS53,615850,1,NA,NA,NA
Cerebellar hypoplasia,PS607596,Pontocerebellar hypoplasia,"Pontocerebellar hypoplasia, type 12",618266,COASY,609855,1,NA,NA,NA
Cerebellar hypoplasia,PS607596,Pontocerebellar hypoplasia,Pontocerebellar hypoplasia type 2A,277470,TSEN54,608755,1,NA,NA,NA
Cerebellar hypoplasia,PS607596,Pontocerebellar hypoplasia,?Pontocerebellar hypoplasia type 5,610204,TSEN54,608755,1,NA,NA,NA
Cerebellar hypoplasia,PS607596,Pontocerebellar hypoplasia,Pontocerebellar hypoplasia type 4,225753,TSEN54,608755,1,NA,NA,NA
Cerebellar hypoplasia,PS607596,Pontocerebellar hypoplasia,?Pontocerebellar hypoplasia type 2C,612390,TSEN34,608754,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, recessive intermediate C",615376,PLEKHG5,611101,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"?Charcot-Marie-Tooth disease, type 2A1",118210,KIF1B,605995,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,Hereditary motor and sensory neuropathy VIA,601152,MFN2,608507,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, axonal, type 2A2B",617087,MFN2,608507,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, axonal, type 2A2A",609260,MFN2,608507,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, dominant intermediate C",608323,YARS1,603623,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, axonal, type 2DD",618036,ATP1A1,182310,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, type 2B1",605588,LMNA,150330,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, type 2I",607677,MPZ,159440,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, type 1B",118200,MPZ,159440,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, dominant intermediate D",607791,MPZ,159440,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, type 2J",607736,MPZ,159440,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,Dejerine-Sottas disease,145900,MPZ,159440,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, axonal, type 2EE",618400,MPV17,137960,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, type 2B",600882,RAB7A,602298,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, axonal, type 2T",617017,MME,120520,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, dominant intermediate F",615185,GNB4,610863,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, type 2R",615490,TRIM2,614141,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, axonal, type 2W",616625,HARS1,142810,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, type 4C",601596,SH3TC2,608206,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, type 4J",611228,FIG4,609390,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, type 2D",601472,GARS1,600287,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, axonal, type 2F",606595,HSPB1,602195,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, dominant intermediate G",617882,NEFL,162280,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, type 2E",607684,NEFL,162280,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, type 1F",607734,NEFL,162280,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, axonal, type 2H",607731,NA,607731,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"?Charcot-Marie-Tooth disease, axonal, autosomal dominant, type 2K",607831,JPH1,605266,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, type 4A",214400,GDAP1,606598,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, recessive intermediate, A",608340,GDAP1,606598,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, axonal, with vocal cord paresis",607706,GDAP1,606598,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, axonal, type 2K",607831,GDAP1,606598,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, demyelinating, type 1G",618279,PMP2,170715,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, type 4D",601455,NDRG1,605262,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, type 2Y",616687,VCP,601023,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, axonal, type 2P",614436,LRSAM1,610933,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, type 4K",616684,SURF1,185620,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"?Charcot-Marie-Tooth disease, axonal, type 2Q",615025,DHTKD1,614984,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, type 1D",607678,EGR2,129010,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,Dejerine-Sottas disease,145900,EGR2,129010,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Hypomyelinating neuropathy, congenital, 1",605253,EGR2,129010,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Neuropathy, hereditary motor and sensory, Russe type",605285,HK1,142600,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, dominant intermediate A",606483,NA,606483,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, type 4B2",604563,SBF2,607697,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, axonal, type 2S",616155,IGHMBP2,600502,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, type 4B1",601382,MTMR2,603557,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, type 4H",609311,FGD4,611104,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, axonal, type 2U",616280,MARS1,156560,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Hereditary motor and sensory neuropathy, type IIc",606071,TRPV4,605427,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, axonal, type 2L",608673,HSPB8,608014,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, recessive intermediate D",616039,COX6A1,602072,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, axonal, type 20",614228,DYNC1H1,600112,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, dominant intermediate E",614455,INF2,610982,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, axonal, type 2X",616668,SPG11,610844,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, type 1C",601098,LITAF,603795,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, axonal, type 2N",613287,AARS1,601065,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"?Charcot-Marie-Tooth disease, recessive intermediate, B",613641,KARS1,601421,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, type 1E",118300,PMP22,601097,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, type 1A",118220,PMP22,601097,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,Dejerine-Sottas disease,145900,PMP22,601097,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"?Charcot-Marie-Tooth disease, axonal, type 2V",616491,NAGLU,609701,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, dominant intermediate B",606482,DNM2,602378,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, axonal type 2M",606482,DNM2,602378,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,Dejerine-Sottas disease,145900,PRX,605725,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, type 4F",614895,PRX,605725,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"?Charcot-Marie-Tooth disease, type 2B2",605589,PNKP,605610,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, axonal, type 2CC",616924,NEFH,162230,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, axonal, type 2Z",616688,MORC2,616661,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, type 4B3",615284,SBF1,603560,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth neuropathy, X-linked recessive, 2",302801,NA,302801,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"?Charcot-Marie-Tooth disease, X-linked dominant, 6",300905,PDK3,300906,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth neuropathy, X-linked dominant, 1",302800,GJB1,304040,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth disease, X-linked recessive, 5",311070,PRPS1,311850,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,"Charcot-Marie-Tooth neuropathy, X-linked recessive, 3",302802,NA,302802,1,NA,NA,NA
Charcot-Marie-Tooth disease,PS118220,Charcot-Marie-Tooth disease,Cowchock syndrome,310490,AIFM1,300169,1,NA,NA,NA
